Hydrochus	callosus	Helophorus	aquaticus
Macrosoma	leucophasiata	Macrosoma	heliconiaria
Prosopocoilus	inquinatus	Dorcus	rectus
Sclerodermus	sp.	Bethylidae	
Leptodirus	hochenwartii	Hadesia	weiratheri
Zhengitettix	transpicula	Alulatettix	yunnanensis
Baryscapus	dioryctriae	Achrysocharoides	butus
Druceiella	hillmani	Phymatopus	californicus
Torymus	aiolomorphi	Torymus	
Malachius	bipustulatus	Falsomelyris	granulata
Hololepta	plana	Hypocaccus	lucidulus
Neodiprion	lecontei	Diprion	
Oegoconia	quadripuncta	Holcopogon	bubulcellus
Anastatus	disparis	Eupelmus	urozonus
Agonopterix	arenella	Coleophora	cratipennella
Copidosoma	floridanum	Leptomastix	dactylopii
Aquatica	leii	Cyphonocerus	sp.
Oxystoma	pomonae	Synapion	ebeninum
Xestobium	rufovillosum	Stegobium	paniceum
Phrixothrix	hirtus	Stenophrixothrix	sp.
Platystomos	albinus	Urodontus	mesemoides
Euspilapteryx	auroguttella	Eucosmophora	pithecellobiae
Silvanus	unidentatus	Silvanoprus	scuticollis
Habrosyne	pyritoides	Tridrepana	flava
Cryptophagus	acutangulus	Micrambina	sp.
Pseudoips	prasinana	Manoba	major
Venturia	canescens	Ichneumonidae	
Platerodrilus	igneus	Macrolycus	sichuanensis
Epermenia	chaerophyllella	Endromis	versicolora
Pycnomerus	fuliginosus	Zopherus	sp.
Vandiemenella	viatica	Parepistaurus	lobicercus
Harmonia	axyridis	Psyllobora	vigintiduopunctata
Tillus	elongatus	Necrobia	
Belonocnema	kinseyi	Dryocosmus	cerriphilus
Gasteruption	jaculator	Pristaulacus	sp.
Luffia	ferchaultella	Thyridopteryx	ephemeraeformis
Apoda	limacodes	Demonarosa	rufotessellata
Metalampra	italica	Phaeosaces	coarctatella
Samia	ricini	Saturnia	pyri
Brachypterus	glaber	Kateretidae	
Dastarcus	helophoroides	Ascetoderes	sp.
Megastigmus	dorsalis	Megastigmidae	
Achelura	yunnanensis	Zygaenidae	
Apodemia	mormo	Alesa	amesis
Anarsia	innoxiella	Phthorimaea	operculella
Rhagonycha	fulva	Lycocerus	sp.
Ancistrocerus	nigricornis	Zethus	spinipes
Elmis	aenea	Stenelmis	aritai
Cartodere	bifasciata	Melanophthalma	
Laupala	kohalensis	Oecanthus	sinensis
Rhyzopertha	dominica	Apatides	fortis
Chalcis	sispes	Chalcididae	
Synanthedon	formicaeformis	Brenthia	pavonacella
Aethina	tumida	Carpophilus	antiquus
Gonatopus	flavifemur	Dryinidae	
Trichopria	drosophilae	Diapriinae	
Monochamus	alternatus	Agapanthia	cardui
Aleochara	curtula	Bledius	femoralis
Plutella	xylostella	Plutellidae	
Sycophila	sp.	Eurytoma	brunniventris
Platygaster	robiniae	Platygastrinae	
Eilema	depressum	Apantesis	virguncula
Zeuzera	pyrina	Zeuzerinae	
Priacma	serrata	Cupedidae	
Anagrus	nilaparvatae	Cosmocomoidea	triguttata
Ptilodon	capucinus	Thaumetopoea	pityocampa
Blastobasis	lacticolella	Blastobasidae	
Pemphredon	lugubris	Tachysphex	yolo
Tinea	semifulvella	Tineinae	
Hedychridium	roseum	Chrysis	
