segment	PDV	wasp_species
NC_006633.1_CcBV_Circle1	BV	Cotesia_congregata
FR797982.1_CcBV_proviral_segment_2	BV	Cotesia_congregata
NC_006635.1_CcBV_Circle3	BV	Cotesia_congregata
NC_006636.1_CcBV_Circle4	BV	Cotesia_congregata
NC_006637.1_CcBV_Circle5	BV	Cotesia_congregata
NC_006638.1_CcBV_Circle6	BV	Cotesia_congregata
NC_006639.1_CcBV_Circle7	BV	Cotesia_congregata
NC_006640.1_CcBV_Circle8	BV	Cotesia_congregata
NC_006641.1_CcBV_Circle9	BV	Cotesia_congregata
NC_006642.1_CcBV_Circle10	BV	Cotesia_congregata
NC_006643.1_CcBV_Circle11	BV	Cotesia_congregata
NC_006644.1_CcBV_Circle12	BV	Cotesia_congregata
NC_006645.1_CcBV_Circle13	BV	Cotesia_congregata
NC_006646.1_CcBV_Circle14	BV	Cotesia_congregata
NC_006647.1_CcBV_Circle15	BV	Cotesia_congregata
FR873483.1	BV	Cotesia_congregata
NC_006648.1_CcBV_Circle17	BV	Cotesia_congregata
NC_006649.1_CcBV_Circle18	BV	Cotesia_congregata
NC_006650.1_CcBV_Circle19	BV	Cotesia_congregata
NC_006651.1_CcBV_Circle20	BV	Cotesia_congregata
NC_006652.1_CcBV_Circle21	BV	Cotesia_congregata
NC_006653.1_CcBV_Circle22	BV	Cotesia_congregata
NC_006654.1_CcBV_Circle23	BV	Cotesia_congregata
FR873484.1_CcBV_segment_24	BV	Cotesia_congregata
NC_006655.1_CcBV_Circle25	BV	Cotesia_congregata
NC_006656.1_CcBV_Circle26	BV	Cotesia_congregata
FR873485.1_CcBV_segment_27	BV	Cotesia_congregata
FR873486.1_CcBV_segment_28	BV	Cotesia_congregata
FR873487.1_CcBV_segment_29	BV	Cotesia_congregata
NC_006657.1_CcBV_Circle30	BV	Cotesia_congregata
FR797983.1_CcBV_segment_31	BV	Cotesia_congregata
NC_006659.1_CcBV_Circle32	BV	Cotesia_congregata
NC_006660.1_CcBV_Circle33	BV	Cotesia_congregata
NC_006661.1_CcBV_Circle35	BV	Cotesia_congregata
NC_006662.1_CcBV_Circle36	BV	Cotesia_congregata
">HF586477.1:c51634-44565CotesiacongregatasequencecontainingCotesiacongregatabracovirusprovirallocus6(PL6)complement(44565..51634)/note=""pseudosegment34;crypticalsegmenthomologoustoCotesiavestalisbracovirussegmentC30"""	BV	Cotesia_congregata
ON351504.1_CiBV10.6	BV	Chelonus_inanitus
ON351505.1_CiBV10.8	BV	Chelonus_inanitus
ON351506.1_CiBV10.9	BV	Chelonus_inanitus
ON351507.1_CiBV11.4	BV	Chelonus_inanitus
ON351508.1_CiBV12	BV	Chelonus_inanitus
ON351509.1_CiBV14	BV	Chelonus_inanitus
ON351510.1_CiBV14.4	BV	Chelonus_inanitus
ON351511.1_CiBV14.5	BV	Chelonus_inanitus
ON351512.1_CiBV15.8	BV	Chelonus_inanitus
ON351513.1_CiBV15.9	BV	Chelonus_inanitus
ON351514.1_CiBV16.6	BV	Chelonus_inanitus
ON351515.1_CiBV16.8	BV	Chelonus_inanitus
ON351516.1_CiBV17.7	BV	Chelonus_inanitus
ON351517.1_CiBV18.8	BV	Chelonus_inanitus
ON351518.1_CiBV19.5	BV	Chelonus_inanitus
ON351519.1_CiBV19.8	BV	Chelonus_inanitus
ON351520.1_CiBV21	BV	Chelonus_inanitus
ON351521.1_CiBV22.5	BV	Chelonus_inanitus
ON351522.1_CiBV24.1	BV	Chelonus_inanitus
ON351523.1_CiBV6.8	BV	Chelonus_inanitus
ON351524.1_CiBV7.4	BV	Chelonus_inanitus
ON351525.1_CiBV8	BV	Chelonus_inanitus
ON351526.1_CiBV9.7	BV	Chelonus_inanitus
ON351527.1_CiBV9.8	BV	Chelonus_inanitus
KF156260.1_DsIV_47	IV	Diadegma_semiclausum
KF156259.1_DsIV_46	IV	Diadegma_semiclausum
KF156258.1_DsIV_45	IV	Diadegma_semiclausum
KF156257.1_DsIV_44	IV	Diadegma_semiclausum
KF156256.1_DsIV_43	IV	Diadegma_semiclausum
KF156255.1_DsIV_42	IV	Diadegma_semiclausum
KF156254.1_DsIV_41	IV	Diadegma_semiclausum
KF156253.1_DsIV_40	IV	Diadegma_semiclausum
KF156252.1_DsIV_39	IV	Diadegma_semiclausum
KF156251.1_DsIV_38	IV	Diadegma_semiclausum
KF156250.1_DsIV_37	IV	Diadegma_semiclausum
KF156249.1_DsIV_36	IV	Diadegma_semiclausum
KF156248.1_DsIV_35	IV	Diadegma_semiclausum
KF156247.1_DsIV_34	IV	Diadegma_semiclausum
KF156246.1_DsIV_33	IV	Diadegma_semiclausum
KF156245.1_DsIV_32	IV	Diadegma_semiclausum
KF156244.1_DsIV_31	IV	Diadegma_semiclausum
KF156243.1_DsIV_30	IV	Diadegma_semiclausum
KF156242.1_DsIV_29	IV	Diadegma_semiclausum
KF156241.1_DsIV_28	IV	Diadegma_semiclausum
KF156240.1_DsIV_27	IV	Diadegma_semiclausum
KF156239.1_DsIV_26	IV	Diadegma_semiclausum
KF156238.1_DsIV_25	IV	Diadegma_semiclausum
KF156237.1_DsIV_24	IV	Diadegma_semiclausum
KF156236.1_DsIV_23	IV	Diadegma_semiclausum
KF156235.1_DsIV_22	IV	Diadegma_semiclausum
KF156234.1_DsIV_21	IV	Diadegma_semiclausum
KF156233.1_DsIV_20	IV	Diadegma_semiclausum
KF156232.1_DsIV_19	IV	Diadegma_semiclausum
KF156231.1_DsIV_18	IV	Diadegma_semiclausum
KF156230.1_DsIV_17	IV	Diadegma_semiclausum
KF156229.1_DsIV_16	IV	Diadegma_semiclausum
KF156228.1_DsIV_15	IV	Diadegma_semiclausum
KF156227.1_DsIV_14	IV	Diadegma_semiclausum
KF156226.1_DsIV_13	IV	Diadegma_semiclausum
KF156225.1_DsIV_12	IV	Diadegma_semiclausum
KF156224.1_DsIV_11	IV	Diadegma_semiclausum
KF156223.1_DsIV_10	IV	Diadegma_semiclausum
KF156222.1_DsIV_9	IV	Diadegma_semiclausum
KF156221.1_DsIV_8	IV	Diadegma_semiclausum
KF156220.1_DsIV_7	IV	Diadegma_semiclausum
KF156219.1_DsIV_6	IV	Diadegma_semiclausum
KF156218.1_DsIV_5	IV	Diadegma_semiclausum
KF156217.1_DsIV_4	IV	Diadegma_semiclausum
KF156216.1_DsIV_3	IV	Diadegma_semiclausum
KF156215.1_DsIV_2	IV	Diadegma_semiclausum
KF156214.1_DsIV_1	IV	Diadegma_semiclausum
MZ129282.1_DsIV_48	IV	Diadegma_semiclausum
AB290007.1_GfIV_E1	IV	Glypta_fumiferanae
AB290006.1_GfIV_D7	IV	Glypta_fumiferanae
AB290005.1_GfIV_D6	IV	Glypta_fumiferanae
AB290004.1_GfIV_D5	IV	Glypta_fumiferanae
AB290003.1_GfIV_D4	IV	Glypta_fumiferanae
AB290002.1_GfIV_D3	IV	Glypta_fumiferanae
AB290001.1_GfIV_D2	IV	Glypta_fumiferanae
AB290000.1_GfIV_D1	IV	Glypta_fumiferanae
AB289999.1_GfIV_C22	IV	Glypta_fumiferanae
AB289998.1_GfIV_C21	IV	Glypta_fumiferanae
AB289997.1_GfIV_C20	IV	Glypta_fumiferanae
AB289996.1_GfIV_C19	IV	Glypta_fumiferanae
AB289995.1_GfIV_C18	IV	Glypta_fumiferanae
