SegmentName	HIMstart	HIMend
H12	2691	2783
Hd13	1084	1176
H16	1734	1833
Hd27	1333	1453
Hd44.2	2044	2137
Hd53	2515	2620
Hd47	3860	3953
CtBV_S10	15978	16100
CtBV_S11	1585	1734
CtBV_S12	1139	1256
CtBV_S14	1484	1604
CtBV_S16	7343	7465
CtBV_S17	1656	1778
CtBV_S18	22279	22420
CtBV_S1	1573	1694
CtBV_S1_Dp	19614	19736
CtBV_S24	19391	19543
CtBV_S26	7407	7531
CtBV_S27	28347	28499
CtBV_S28	35383	35556
CtBV_S32	1150	1319
CtBV_S35	4601	4734
CtBV_S4	7838	7958
CtBV_S7	1395	1528
AY875685.1_MdBV_H	8284	8393
AY875684.1_MdBV_G	2128	2238
AY875688.1_MdBV_M	5697	5798
AY875680.2_MdBV_E	1323	1431
NC_007036.1_MdBV_J	3182	3288
AY875687.1_MdBV_K	1799	1909
AY848690.1_MdBV_B	4476	4586
AY875689.1_MdBV_N	7658	7769
NC_006656.1_CcBV_Circle26	6437	6534
NC_006633.1_CcBV_Circle1	26065	26161
NC_006636.1_CcBV_Circle4	12522	12619
NC_006646.1_CcBV_Circle14	2419	2516
NC_006642.1_CcBV_Circle10	5473	5570
NC_006659.1_CcBV_Circle32	793	940
NC_006661.1_CcBV_Circle35	1281	1389
NC_006648.1_CcBV_Circle17	12575	12672
NC_006647.1_CcBV_Circle15	4646	4755
NC_006639.1_CcBV_Circle7	15083	15190
FR873483.1 CcBV_segment_16	10303	10412
FR873484.1 CcBV_segment_24	24746	24855
FR873485.1 CcBV_segment_27	31144	31259
NC_006643.1_CcBV_Circle11	3441	3549
NC_006644.1_CcBV_Circle12	15324	15426
NC_006649.1_CcBV_Circle18	29152	29258
ON351516.1_CiBV17.7	7754	7883
KF156228.1_DsIV_15	1014	1127
KF156246.1_DsIV_33	1029	1120
KF156251.1_DsIV_38	2733	2362
KF156253.1_DsIV_40	347	479
AF421353.1_TrIV_F1	2165	2256
AB291163.1_TrIV_G5	5065	6904
AY940454.1_TrIV_C1	1427	1517
CiBV_S26	17209	17318
CiBV_S1	24689	24793
CiBV_S24	634	753
CiBV_S27	135	251
CiBV_S28	243	97
CiBV_S4	9794	9911
CiBV_S7	25843	25971
CiBV_S16	959	832
CiBV_S18	693	586
CiBV_S35	5457	5585
CiBV_S10	13167	13284
CiBV_S17	408	291
CiBV_S14	447	331
CiBV_S11	413	536
CiBV_S12	151	268
CiBV_S32	31501	31647
CfBV_S7	14268	14375
CfBV_S16	857	954
CfBV_S18	153	248
CfBV_S35	8489	8597
CfBV_S4	9357	9454
CfBV_S10	11534	11631
CfBV_S17	248	345
CfBV_S24	19078	19185
CfBV_S27	23382	23489
CfBV_S32	31871	31995
CfBV_S11	290	402
CfBV_S12	141	242
CfBV_S14	422	518
CfBV_S1	310	406
CfBV_S26	8335	8430
CfBV_S28	36031	36150
