CM063640.1:327177166-327179102	CM063640.1:327177166-327179102
CM079453.1:247789965-247790558	CM079453.1:247789965-247790558
CM079452.1:39633429-39633671	CM079452.1:39633429-39633671
JASMSR010000005.1:47160179-47160423	JASMSR010000005.1:47160179-47160423
JASMSR010000005.1:47160179-47160423	CM063640.1:27197133-27197377
CM063645.1:59850527-59851111	CM063645.1:59850527-59851111
CM063640.1:124050380-124051243	CM063640.1:124050380-124051243
NC_008952.1_Hyposoter_fugitivus_ichnovirus_segment_C2,_complete_genome_(reversed)	NC_008952.1_Hyposoter_fugitivus_ichnovirus_segment_C2,_complete_genome_(reversed)
CM079458.1:419330-419598__(reversed)	CM079458.1:419330-419598__(reversed)
CM079458.1:419330-419598__(reversed)	NQII01005613.1:138226-138494__(reversed)
NQII01002510.1:165696-165966__(reversed)	NQII01002510.1:165696-165966__(reversed)
CM063642.1:118656853-118657343__(reversed)	CM063642.1:118656853-118657343__(reversed)
MZ129252.1_Diadegma_fenestrale_ichnovirus_isolate_Jeju_segment_D4,_complete_sequence_(reversed)	MZ129252.1_Diadegma_fenestrale_ichnovirus_isolate_Jeju_segment_D4,_complete_sequence_(reversed)
KF156228.1_DsIV_15_(reversed)	KF156228.1_DsIV_15_(reversed)
OZ023068.1:5347131-5347598	OZ023068.1:5347131-5347598
OY293829.1:67004239-67004718	OY293829.1:67004239-67004718
CM038779.1:25447389-25447888	CM038779.1:25447389-25447888
CM038779.1:25447389-25447888	JASMSR010000005.1:3327082-3327424
CM038779.1:25447389-25447888	CM038778.1:13114094-13114409
CM038779.1:25447389-25447888	CM063641.1:73126290-73126782
CM038779.1:25447389-25447888	CAJZBT010000061.1:1987781-1988273
CM038779.1:25447389-25447888	SSWZ01000091.1:105739-106238
CM038779.1:25447389-25447888	OX031018.1:6761394-6761689
CM038779.1:25447389-25447888	KZ625021.1:1494104-1494296__(reversed)
CM038779.1:25447389-25447888	OU795001.1:16518655-16518847__(reversed)
CM038779.1:25447389-25447888	CM038791.1:14375514-14376006
CM038779.1:25447389-25447888	CM037746.1:14574020-14574512
CM038779.1:25447389-25447888	OX387422.1:60473023-60473502
CM038779.1:25447389-25447888	CM037742.1:37441927-37442355__(reversed)
CM038779.1:25447389-25447888	CM038787.1:36438525-36438953_
CM038779.1:25447389-25447888	CM037735.1:34570245-34570673_
CM038779.1:25447389-25447888	OZ001258.1:34691789-34692281__(reversed)
CM038779.1:25447389-25447888	OZ001259.1:4969244-4969736_
CM038779.1:25447389-25447888	OZ022395.1:12001018-12001482__(reversed)
CM038779.1:25447389-25447888	JASMSR010000010.1:9613385-9613864_
CM038779.1:25447389-25447888	CM063640.1:199786381-199786859_
CM038779.1:25447389-25447888	CM038785.1:13407928-13408246__(reversed)
CM038779.1:25447389-25447888	SSWZ01000065.1:312470-312778__(reversed)
CM038779.1:25447389-25447888	CM038786.1:26888485-26888984__(reversed)
CM038779.1:25447389-25447888	CM009917.1:18635375-18635874__(reversed)
CM038779.1:25447389-25447888	CM037741.1:26197936-26198435__(reversed)
CM038779.1:25447389-25447888	CM037734.1:24454557-24455056__(reversed)
CM038779.1:25447389-25447888	CM063640.1:99934621-99934824_
CM038779.1:25447389-25447888	OX031016.1:43914829-43915308
CM038779.1:25447389-25447888	CM037740.1:13321403-13321721__(reversed)
CM038779.1:25447389-25447888	CM037733.1:12966346-12966661__(reversed)
CM038779.1:25447389-25447888	OX101806.1:5505061-5505556
CM038779.1:25447389-25447888	SSWZ01000619.1:43170-43662
CM038779.1:25447389-25447888	CM063643.1:7657267-7657725_
CM038779.1:25447389-25447888	CM063653.1:46117191-46117667
CM038779.1:25447389-25447888	LGIB01000648.1:5297-5790
