OU342972.1:6584468-6584847	OU342972.1:6584468-6584847
OU342972.1:20213930-20214124	OU342972.1:20213930-20214124
OU342972.1:20948912-20949447	OU342972.1:20948912-20949447
OU342975.1:16136704-16137601	OU342975.1:16136704-16137601
OU342975.1:16163650-16163841	OU342975.1:16163650-16163841
OU342979.1:11363633-11364143	OU342979.1:11363633-11364143
OU342979.1:11363633-11364143	OZ180006.1:657341-657840
OU342979.1:16252599-16253597	OU342979.1:16252599-16253597
OU342979.1:16252599-16253597	OU342975.1:12913327-12914324
OU342979.1:16252599-16253597	OU342979.1:18497961-18498956
OU342979.1:16252599-16253597	OX371209.1:15693544-15694514
HG992284.1:19170218-19170687	HG992284.1:19170218-19170687
JADAKG010000047.1:9751349-9752445	JADAKG010000047.1:9751349-9752445
JADAKG010000047.1:9751349-9752445	JADAKG010000039.1:4827426-4828521
JADAKG010000047.1:9751349-9752445	CAXVXJ010000022.1:16449746-16449909
JADAKG010000047.1:9751349-9752445	OZ182089.1:5378142-5378305
JADAKG010000047.1:9751349-9752445	CATLJT010000284.1:36413-37110
JADAKG010000047.1:9751349-9752445	JADAKG010000199.1:1454246-1455289
JADAKG010000047.1:9751349-9752445	CAXWAB010000019.1:949844-950693
JADAKG010000047.1:9751349-9752445	LR990567.2:2045643-2046429
JAFEKT020003651.1:60562-61205	JAFEKT020003651.1:60562-61205
JALPQI010030514.1:45218-45582	JALPQI010030514.1:45218-45582
JAPEIZ010264509.1:4295-4654	JAPEIZ010264509.1:4295-4654
JAPUBQ010000019.1:709454-709638	JAPUBQ010000019.1:709454-709638
JASMSR010000010.1:9610539-9610911	JASMSR010000010.1:9610539-9610911
JAUPFN010000012.1:2266816-2267385	JAUPFN010000012.1:2266816-2267385
JAUPFN010000012.1:2266816-2267385	JAUPFN010000012.1:30098748-30099311
JAUPFN010000012.1:2266816-2267385	JAUPFO010000002.1:11996742-11997305
JAUPFN010000012.1:2266816-2267385	JAUPFO010000025.1:906883-907345
JAUPFN010000012.1:2266816-2267385	JAUPFN010000015.1:18826257-18826719
JAUPFN010000012.1:2266816-2267385	JAUPFO010000011.1:15052464-15052914
JAUPFN010000012.1:2266816-2267385	JAUPFO010000013.1:19201627-19202089
JAUPFN010000012.1:2266816-2267385	JAUPFN010000018.1:29062850-29063315
JAUPFN010000012.1:2266816-2267385	JAUPFN010000032.1:4283365-4283832
JAUPFN010000012.1:2266816-2267385	JAUPFO010000049.1:113479-113946
JAUPFN010000012.1:2266816-2267385	JAUPFN010000032.1:4025138-4025605
JAUPFN010000012.1:2266816-2267385	JAUPFN010000117.1:10332-10799
JAUPFN010000012.1:2266816-2267385	JAUPFO010000017.1:8233975-8234527
JAUPFN010000012.1:2266816-2267385	JAUPFO010000017.1:24055944-24056499
JAUPFN010000012.1:2266816-2267385	JAUPFN010000018.1:12391856-12392411
JAUPFN010000012.1:2266816-2267385	JAUPFO010000023.1:17982406-17982964
JAUPFN010000012.1:2266816-2267385	JAUPFN010000013.1:23315877-23316434
JAUPFN010000012.1:2266816-2267385	JAUPFN010000018.1:7105028-7105492
JAUPFN010000012.1:2266816-2267385	JAUPFO010000012.1:23149553-23150110
JAUPFN010000012.1:2266816-2267385	JAUPFN010000007.1:20996769-20997327
JAUPFN010000012.1:2266816-2267385	JAUPFN010000012.1:16882942-16883403
JAUPFN010000012.1:2266816-2267385	JAUPFN010000028.1:4853477-4854044
JAUPFN010000012.1:2266816-2267385	JAUPFO010000003.1:43876382-43876853
JAUPFN010000012.1:2266816-2267385	JAUPFO010000017.1:7783870-7784332
JAUPFN010000012.1:2266816-2267385	JAUPFO010000031.1:199668-200227
JAUPFN010000012.1:2266816-2267385	JAUPFN010000059.1:5050-5571
JAUPFN010000012.1:2266816-2267385	JAUPFN010000059.1:131298-131819
