LR990046.1:17392347-17392724	LR990046.1:17392347-17392724
LR990047.1:19553379-19553764	LR990047.1:19553379-19553764
LR990048.1:6435522-6435734	LR990048.1:6435522-6435734
LR990060.1:10638389-10638753	LR990060.1:10638389-10638753
LR990065.1:12528939-12530826	LR990065.1:12528939-12530826
LR990067.1:239774-240036	LR990067.1:239774-240036
LR990067.1:239774-240036	LR990042.1:6276666-6276912
LR990067.1:239774-240036	LR990042.1:15544323-15544583
LR990067.1:239774-240036	LR990045.1:6287099-6287360
LR990067.1:239774-240036	LR990066.1:4748471-4748732
LR990067.1:239774-240036	LR990042.1:15552557-15552817
LR990067.1:239774-240036	LR990042.1:16014065-16014327
LR990067.1:239774-240036	LR990045.1:7380996-7381257
LR990067.1:239774-240036	LR990066.1:4410186-4410433
LR990067.1:239774-240036	LR990045.1:990689-990943
LR990577.1:1839797-1839999	LR990577.1:1839797-1839999
NJDC01000958.1:919-1241	NJDC01000958.1:919-1241
NJDC01023877.1:9711-10372	NJDC01023877.1:9711-10372
NJDD01000093.1:88121-88328	NJDD01000093.1:88121-88328
NJDD01000309.1:65690-66178	NJDD01000309.1:65690-66178
NJDD01001586.1:7943-8497	NJDD01001586.1:7943-8497
NJDD01002479.1:38798-39473	NJDD01002479.1:38798-39473
NJDD01002955.1:7620-7855	NJDD01002955.1:7620-7855
NJDD01006038.1:30331-31227	NJDD01006038.1:30331-31227
NJDD01010273.1:7027-7832	NJDD01010273.1:7027-7832
NKXL01324165.1:2708-3384	NKXL01324165.1:2708-3384
NKXL01324165.1:2708-3384	CM057002.1:29462378-29463054
OU015649.1:1663413-1663586	OU015649.1:1663413-1663586
OU026124.1:3336186-3336682	OU026124.1:3336186-3336682
OU026126.1:561508-563327	OU026126.1:561508-563327
OU026126.1:561508-563327	OU026141.1:9768882-9769236
OU026126.1:561508-563327	OU026116.1:19960667-19961798
OU026132.1:1748855-1750781	OU026132.1:1748855-1750781
OU026141.1:3235986-3237881	OU026141.1:3235986-3237881
OU026141.1:3235986-3237881	OU026141.1:3181414-3183302
OU026141.1:3235986-3237881	LR990063.1:4682588-4683193
OU026141.1:3235986-3237881	OU026141.1:6439497-6440558
OU026141.1:3235986-3237881	LR990046.1:6837483-6839016
OU026141.1:3235986-3237881	LR990061.1:12259037-12260926
OU026141.1:3235986-3237881	OU026129.1:14926278-14926633
OU026141.1:3235986-3237881	OU026132.1:10508624-10508908
OU026141.1:3235986-3237881	LR990048.1:5409795-5410192
OU342882.1:4507979-4509572	OU342882.1:4507979-4509572
OU342960.1:18891795-18892175	OU342960.1:18891795-18892175
OU342961.1:25119886-25120256	OU342961.1:25119886-25120256
OU342961.1:25119886-25120256	OU342960.1:52094263-52094629
OU342961.1:25119886-25120256	OU342975.1:24951063-24951430
OU342961.1:25119886-25120256	OY735270.1:8602155-8602523
OU342961.1:25119886-25120256	OU342961.1:32333599-32333967
OU342961.1:25119886-25120256	OU342985.1:16285575-16285940
OU342961.1:25119886-25120256	OU342965.1:4317303-4317670
OU342977.1:2977640-2979539	OU342977.1:2977640-2979539
OU342981.1:9857634-9859660	OU342981.1:9857634-9859660
OU342981.1:9857634-9859660	OU342975.1:4550337-4552300
OU342982.1:4651950-4652469	OU342982.1:4651950-4652469
OU342982.1:4651950-4652469	OU342961.1:7721516-7722015
OU342982.1:4651950-4652469	OU342961.1:33197268-33197767
OU342982.1:4651950-4652469	OU342962.1:1732318-1732819
OU342982.1:4651950-4652469	OU342964.1:1997103-1997603
OU342982.1:4651950-4652469	OU342965.1:17029828-17030328
OU342982.1:4651950-4652469	OU342966.1:3946462-3946961
OU342982.1:4651950-4652469	OU342967.1:29470295-29470794
OU342982.1:4651950-4652469	OU342968.1:15805606-15806106
OU342982.1:4651950-4652469	OU342968.1:26793631-26794130
OU342982.1:4651950-4652469	OU342969.1:6218501-6219000
OU342982.1:4651950-4652469	OU342970.1:5446410-5446909
OU342982.1:4651950-4652469	OU342975.1:26500999-26501500
OU342982.1:4651950-4652469	OU342982.1:21087365-21087864
OU342982.1:4651950-4652469	OU342988.1:8829259-8829762
OU342982.1:4651950-4652469	OW203985.1:25523547-25524046
