query_id	startHIMcontig	endHIMcontig
Hd27-J2-CAJQZN010033426.1	1	35
KF156228.1_DsIV_15-J1-CAJVQM020000058.1	993	1021
AF421353.1_TrIV_F1-J2-CAKAJF010000193.1	1	30
CiBV_S27-J2-CAKKCZ020000023.1	1	35
NC_006646.1_CcBV_Circle14-J2-OV170229.1	1	36
AF421353.1_TrIV_F1-J1-OV281313.1	278	305
Hd47-J2-OW203986.1	1	32
AY848690.1_MdBV_B-J1-OX376063.1	293	321
Hd44.2-J2-OX387212.1	1	29
AY875685.1_MdBV_H-J1-OX411752.1	2139	2167
NC_007036.1_MdBV_J-J1-OX411769.1	301	326
NC_006656.1_CcBV_Circle26-J1-DWQP01000308.1	2435	2462
KF156228.1_DsIV_15-J2-DWTC01421396.1	1	28
Hd27-J1-DVYP01120873.1	262	291
Hd27-J2-DVYD01048248.1	1	14
NC_006633.1_CcBV_Circle1-J1-DVTK01031783.1	222	241
Hd27-J1-NQII01009594.1	241	273
Hd27-J2-DWSS01026707.1	1	32
KF156228.1_DsIV_15-J1-JAIPRO010000019.1	196	221
KF156246.1_DsIV_33-J2-LR824548.2	1	62
KF156246.1_DsIV_33-J1-LR990055.1	831	867
Hd27-J1-DWCD01101839.1	293	321
Hd27-J1-DWQB01019265.1	314	324
NC_006656.1_CcBV_Circle26-J2-DVYN010001969.1	1	25
NC_006644.1_CcBV_Circle12-J1-DWQP01018977.1	548	574
CtBV_S26-J2-DWNL01006835.1	1	91
KF156246.1_DsIV_33-J1-DWCB01085683.1	1	28
Hd27-J2-DWNG01051880.1	1	20
Hd27-J2-DWCD01157466.1	1	15
Hd27-J2-DWLN01059137.1	1	20
CtBV_S1-J2-DVYC01000079.1	1	58
Hd27-J2-DWBA01004514.1	1	31
CtBV_S28-J2-DVYS01010510.1	1	35
NC_006642.1_CcBV_Circle10-J1-DVZM01000151.1	1087	1114
CtBV_S16-J2-DVZM01117339.1	1	31
CtBV_S27-J1-DWSS01006138.1	196	250
KF156228.1_DsIV_15-J1-DWKW01000821.1	651	681
Hd27-J1-DWBA01107561.1	323	354
H16-J2-JALPQI010015977.1	1	30
Hd47-J1-JALPQI010011413.1	1829	1840
Hd27-J1-DWEL01033697.1	545	570
NC_006639.1_CcBV_Circle7-J1-DWMN01018498.1	601	627
KF156228.1_DsIV_15-J1-DWBA01076059.1	169	198
Hd47-J1-CAJHUY010000054.1	271	303
CtBV_S27-J1-CAJMZW010000065.1	197	247
KF156228.1_DsIV_15-J2-CAJNAH010000005.1	1	25
CiBV_S12-J2-CAJNAH010000006.1	1	5
CtBV_S1-J1-CAJQFG010000008.1	927	955
NC_006636.1_CcBV_Circle4-J1-CAJQFG010000023.1	1097	1112
KF156246.1_DsIV_33-J2-CAJQFU010000061.1	1	38
CtBV_S16-J2-CAJQZN010028494.1	1	40
H16-J2-CAJUYE020000058.1	1	30
Hd27-J2-CAUOQH010000045.1	1	30
CfBV_S1-J2-CAVMFU010000094.1	1	27
NC_006644.1_CcBV_Circle12-J1-CM029773.1	200	212
Hd27-J2-CM037733.1	1	28
KF156228.1_DsIV_15-J1-CM063640.1	710	738
CtBV_S10-J2-CM063640.1	0	67
NC_006642.1_CcBV_Circle10-J1-CM063640.1	443	478
CfBV_S1-J2-CM054780.1	360	332
H16-J2-CM063640.1	1	32
CfBV_S1-J2-CM063640.1	1	28
CtBV_S27-J1-FR990006.1	218	252
NC_006644.1_CcBV_Circle12-J1-FR997807.1	329	355
NC_006646.1_CcBV_Circle14-J1-OX465244.1	232	250
CtBV_S4-J2-OX465257.1	1	52
KF156228.1_DsIV_15-J1-OX465263.1	2712	2739
